query_raw,ref_answer
"Context: the order of the appellate division should be affirmed.
Question: Is it overruling?
Answer:",No
"Context: to the extent that our holdings in dove, 710 p.2d 170, and cannon, 692 p.2d 740, do not abide by the bright-line standard articulated in rule 7(f)(2), we overrule those cases.
Question: Is it overruling?
Answer:",Yes
"Context: as stated above, this issue was properly preserved for appeal, and thus, we must determine whether the trial court erred by overruling
Question: Is it overruling?
Answer:",No
"Context: to the extent that language in chiles v. state employees attorneys guild, 734 so.2d 1030, 1034 (fla. 1999), may be read as endorsing use of the ""clearly erroneous"" standard in this regard, we recede from that language
Question: Is it overruling?
Answer:",Yes
"Context: syllabus point 1, in part, chambers, 157 w.va. at 77, 198 s.e.2d at 807.
Question: Is it overruling?
Answer:",No
"Context: with regard to the conflict cases, we disapprove the decisions in israel and miller to the extent that they rejected the inherent authority of the trial court as a basis for awarding attorneys' fees.
Question: Is it overruling?
Answer:",Yes
"Context: the superior court reasoned that four justices in l.b.m. would have permitted the gal to represent the child in the tpr hearing when the child's best interests and legal interests did not conflict.
Question: Is it overruling?
Answer:",No
"Context: to the extent morning fresh farms can be read as holding that the mere presence of a building, without more, provides sufficient connection to meet the requirement that the product ""originate from the land's productivity,"" we decline to follow it.
Question: Is it overruling?
Answer:",Yes
"Context: see holbrook, 475 us at 569-571.
Question: Is it overruling?
Answer:",No
"Context: see 15 u.s.c.  1692a(6) (""""the term 'debt collector' means any person who uses any instrumentality of interstate commerce or the mails in any business the principal purpose of which is the collection of any debts, or who regularly collects or attempts to collect, directly or indirectly, debts owed or due or asserted to be owed or due another""""; chiang v. verizon new england, inc., 595 f.3d 26, 41 (1st cir. 2010) (""""creditors collecting on their own accounts are generally excluded from the [fdcpa's] reach"""" unless they use """"any name other than [their] own which would indicate that a third person is collecting or attempting to collect such debts"""").
Question: Is it overruling?
Answer:",No
"Context: the false statement must point to the plaintiff and """"to no one else."""" newspapers, inc., 339 s.w.2d at 894; houseman, 242 s.w.3d at 525.
Question: Is it overruling?
Answer:",No
"Context: we, therefore, asked our colleagues to consider the appeal in banc on the briefs of the parties, they so voted, and this opinion represents the views of the full court.
Question: Is it overruling?
Answer:",Yes
"Context: smithparker acknowledges this precedent but argues that it was wrongly decided.
Question: Is it overruling?
Answer:",Yes
"Context: therefore, to the extent that the ica in prior decisions has applied harmless error analysis to violations of the principles set forth in grindles , 70 haw. 528, 777 p.2d 1187, these decisions are overruled
Question: Is it overruling?
Answer:",Yes
"Context: accordingly, it is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: riedlinger, 2013 nd 14,  10, 826 n.w.2d 340. """"summary judgment is inappropriate if neither party is entitled to judgment as a matter of law or if reasonable differences of opinion exist as to the inferences to be drawn from the undisputed facts.""""
Question: Is it overruling?
Answer:",No
"Context: whether to grant an award under  97-88.1,
Question: Is it overruling?
Answer:",No
"Context: to the extent they are inconsistent with our analysis, we disapprove darden v. general motors corp., supra, 40 cal.app.4th 342, and its progeny, barr v. acands, inc. (1997) 57 cal.app.4th 1038.
Question: Is it overruling?
Answer:",Yes
"Context: thus, to the extent that the decisions of this court in carney v. moody, supra and in fireman's fund ins. v. government emp. ins., ky., 635 s.w.2d 475 (1982), are in conflict with our decision in this case, they are overruled.
Question: Is it overruling?
Answer:",Yes
